ID,OCCUPATION,COUNT
0931,irregular ,1
0932,dressmaker ,2
0932,washer ,1
0933,cook ,1
0934,days work when can get it ,1
0935,null,null
0936,days work ,1
0937,days work ,1
0938,cook ,1
0939,white washer ,1
0940,null,null
0941,various ,1
0942,washer when able ,1
0943,null,null
0944,days work ,1
0945,days work when able ,2
0946,rag sorters ,2
0947,days work when can get it ,1
0948,days work when can get it ,1
0949,days work ,1
0950,days work when able ,1
0951,days work ,1
0952,not able ,1
0953,washer when able ,1
0954,millinier ,1
0954,dress maker ,1
0955,dress maker ,2
0956,sempstress ,1
0957,washer ,1
0958,cook ,1
0959,service ,1
0960,washer ,1
0961,not able ,1
0962,dressmaker ,1
0962,tailoress ,1
0963,service commonly ,1
0964,service ,1
0965,shop keeper ,1
0966,days work ,1
0967,days work ,1
0968,washer when able ,1
0969,null,null
0970,sempstress ,1
0971,days work very little ,1
0972,various ,1
0973,cook ,1
0974,shop keeper ,1
0975,washer ,1
0976,washer when able ,1
0977,washer average ,1
0978,service ,1
0979,washer ,2
0980,days work ,1
0981,days work ,1
0982,washer ,1
0983,null,null
0984,service ,1
0985,washer ,2
0986,dress maker ,1
0987,washer ,1
0988,days work ,1
0989,washer ,1
0989,dress maker ,1
0990,cook ,1
0990,sometimes ,1
0991,cook ,1
0992,days work when able ,1
0993,dress maker ,1
0994,service ,1
0994,sometimes ,1
0995,washer ,1
0996,washer ,1
0997,washer ,2
0998,milliner ,1
0998,dress maker ,1
0998,embroider ,1
0999,service ,1
1000,null,null
1001,washer ,1
1002,days work ,1
1003,cook ,1
1004,washer ,1
1005,days work ,1
1006,null,null
1007,dressmakers ,3
1008,washer ,1
1009,washer ,1
1010,washer ,1
1011,washer ,1
1012,days work ,2
1013,days work ,1
1013,not able ,1
1014,dressm ,1
1014,dom duties ,1
1015,washer ,1
1016,dom duties ,1
1017,days work ,1
1017,washer ,1
1018,washer ,1
1019,days work ,1
1020,washer ,1
1021,washer ,1
1022,null,null
1023,washer ,2
1024,washer ,1
1025,milliner ,1
1026,sempstree ,1
1026,dom duties ,1
1027,days work ,1
1028,service ,1
1029,days work ,1
1030,null,null
1031,service ,1
1032,washer when can get it ,1
1033,sempstress ,1
1033,days work ,1
1034,washer ,1
1035,washer ,1
1036,dom duties ,1
1037,washer ,1
1038,dom duties ,1
1039,dom duties ,1
1040,washer ,1
1041,dom duties ,1
1042,washer ,1
1042,tailoress when able ,1
1043,service ,1
1044,service ,1
1045,washer ,1
1046,washer ,1
1047,cook ,1
1048,washer ,1
1049,washer ,1
1050,washer ,2
1051,washer ,2
1051,not able ,1
1052,washer ,1
1053,washer ,2
1054,washer ,1
1055,washer ,1
1056,washer ,1
1057,washer ,1
1058,dom duties ,2
1059,dom duties ,1
1060,days work ,1
1061,service ,1
1062,washer ,1
1063,sempstresses ,2
1064,washers ,2
1064,dressm ,1
1065,service ,1
1066,washer ,1
1067,white washer ,1
1068,cook ,1
1069,days work ,1
1070,cake seller ,1
1071,washer ,1
1072,washer when can get it ,1
1073,washer ,1
1074,washer ,1
1075,barber ,1
1076,days work ,1
1077,assists at home ,1
1078,washer ,1
1079,washer ,1
1080,washer ,1
1081,cook ,1
1081,washer ,1
1082,days work ,1
1083,not able ,1
1084,days work ,2
1085,huxter ,1
1086,washer ,2
1087,washer ,1
1088,dress maker ,1
1089,washer ,1
1090,washer ,1
1091,washer ,1
1092,washer ,1
1093,washers ,2
1093,dressm ,1
1094,dom duties ,1
1095,shop keeper ,1
1096,washer ,2
1097,scourer ,1
1098,null,null
1099,dom duties ,1
1099,sempstress ,1
1099,washer ,1
1100,rag sorter ab ,1
1101,service ,1
1102,washer ,1
1103,dom duties ,1
1104,sempstress ,1
1105,null,null
1106,shop keeper ,1
1107,assists husband ,1
1108,days work ,1
1109,null,null
1110,days work ,1
1111,service ,1
1112,washer ,1
1113,days work ,1
1114,sempstress ,1
1115,washer when able ,1
1116,days work when can get it ,1
1117,washer ,2
1118,washer when can get it ,1
1119,service ,1
1120,days work ,1
1121,service ,1
1122,washer ,1
1123,washer when able ,1
1124,days work ,1
