197,laborer . . . . . . . . . .,. . . . . . .,,,,,
198,. . . . . . . . . . .,. . . . . . .,,,,,
199,. . . . . . . . . . .,. . . . . . .,,,,,
200,currier . . . . . . . . . .,. . . . . . .,,,,,
201,. . . . . . . . . . .,. . . . . . .,,,,,
202,. . . . . . . . . . .,. . . . . . .,,,,,
203,waterman . . . . . . . . . .,. . . . . . .,,,,,
204,musician . . . . . . . . . .,. . . . . . .,,,,,
205,stevedore . . . . . . . . . .,. . . . . . .,,,,,
206,laborer . . . . . . . . . .,. . . . . . .,,,,,
207,. stevedore . seaman . . . . . . .,1 1 . . . . .,,,,,
208,steward . . . . . . . . . .,. . . . . . .,,,,,
209,porter . . . . . . . . . .,. . . . . . .,,,,,
210,. . . . . . . . . . .,. . . . . . .,,,,,
211,boot black . . . . . . . . .,. . . . . . .,,,,,
212,. . . . . . . . . . .,. . . . . . .,,,,,
213,. . . . . . . . . . .,. . . . . . .,,,,,
214,. . . . . . . . . . .,. . . . . . .,,,,,
215,. . . . . . . . . . .,. . . . . . .,,,,,
216,. . . . . . . . . . .,. . . . . . .,,,,,
217,. . . . . . . . . . .,. . . . . . .,,,,,
218,laborer . . . . . . . . . .,. . . . . . .,,,,,
219,porter . . . . . . . . . .,. . . . . . .,,,,,
220,porter about . . . . . . . . .,. . . . . . .,,,,,
221,. . . . . . . . . . .,. . . . . . .,,,,,
222,. . . . . . . . . . .,. . . . . . .,,,,,
223,. . . . . . . . . . .,. . . . . . .,,,,,
224,. . . . . . . . . . .,. . . . . . .,,,,,
225,boot maker . . . . . . . . .,. . . . . . .,,,,,
226,. . . . . . . . . . .,. . . . . . .,,,,,
227,. . . . . . . . . . .,. . . . . . .,,,,,
228,. . . . . . . . . . .,. . . . . . .,,,,,
229,seaman . . . . . . . . . .,. . . . . . .,,,,,
230,water . . . . . . . . . .,. . . . . . .,,,,,
231,. . . . . . . . . . .,. . . . . . .,,,,,
232,waiter . . . . . . . . . .,. . . . . . .,,,,,
233,waiter . . . . . . . . . .,. . . . . . .,,,,,
234,traveling minister . . . . . . . . .,. . . . . . .,,,,,
235,barber . . . . . . . . . .,. . . . . . .,,,,,
236,seaman . . . . . . . . . .,. . . . . . .,,,,,
237,. . . . . . . . . . .,. . . . . . .,,,,,
238,. . . . . . . . . . .,. . . . . . .,,,,,
239,. . . . . . . . . . .,. . . . . . .,,,,,
240,porter . . . . . . . . . .,. . . . . . .,,,,,
241,laborer . . . . . . . . . .,. . . . . . .,,,,,
242,porter . . . . . . . . . .,. . . . . . .,,,,,
243,boot . shoemaker . . . . . . . .,. . . . . . .,,,,,
244,gentleman . . . . . . . . . .,. . . . . . .,,,,,
245,. steward . . . . . . . . .,2 . . . . . .,,,,,
246,clothes dealer . . . . . . . . .,. . . . . . .,,,,,
