ID,JoinOcc,JoinCount
0398,washer but little . . . . . . . .,. . . . . . . .
0399,washer but little . . . . . . . .,. . . . . . . .
0400,washer cant tell . . . . . . . .,. . . . . . . .
0401,service . . . . . . . . . .,. . . . . . . .
0402,washer irregular . . . . . . . . .,. . . . . . . .
0403,. does mothing . . . . . . . .,1 . . . . . . .
0404,washer very little . . . . . . . .,. . . . . . . .
0405,dress m millinary dont know . . . . . .,. . . . . . . .
0406,days work ab . . average . . . . .,. . . . . . . .
0407,shop keeper . . . . . . . . .,. . . . . . . .
0408,days work very little . . . . . . .,. . . . . . . .
0409,. washer . white washer . . . . . .,1 . 1 . . . . .
0410,sempstress dont know . . . . . . . .,. . . . . . . .
0411,school teacher . . . . . . . . .,. . . . . . . .
0412,dressm very little . . . . . . . .,. . . . . . . .
0413,cook . . . . . . . . . .,. . . . . . . .
0414,cook . . . . . . . . . .,. . . . . . . .
0415,washer . . . . . . . . . .,. . . . . . . .
0416,days work . . . . . . . . .,. . . . . . . .
0417,washer . . . . . . . . . .,. . . . . . . .
0418,washer . . . . . . . . . .,. . . . . . . .
0419,washer . . . . . . . . . .,. . . . . . . .
0420,washer . . . . . . . . . .,. . . . . . . .
0421,. . . . . . . . . . .,. . . . . . . .
0422,. . . . . . . . . . .,. . . . . . . .
0423,. . . . . . . . . . .,. . . . . . . .
0424,days work . . . . . . . . .,. . . . . . . .
0425,washer . . . . . . . . . .,. . . . . . . .
0426,sempstress . . . . . . . . . .,. . . . . . . .
0427,assists husband . . . . . . . . .,. . . . . . . .
0428,days work . . . . . . . . .,. . . . . . . .
0429,not able to work . . . . . . .,. . . . . . . .
0430,washer little . . . . . . . . .,. . . . . . . .
0431,. . . . . . . . . . .,. . . . . . . .
0432,dom duties . . . . . . . . .,. . . . . . . .
0433,days work . . . . . . . . .,. . . . . . . .
0434,. washer cant tell . not able to work . .,1 . . . 1 . . .
0435,days work . . . . . . . . .,. . . . . . . .
0436,days work irregular . . . . . . . .,. . . . . . . .
0437,days work . . . . . . . . .,. . . . . . . .
0438,washer very little . . . . . . . .,. . . . . . . .
0439,service . . . . . . . . . .,. . . . . . . .
0440,washer . . . . . . . . . .,. . . . . . . .
0441,days work very dull . . . . . . .,. . . . . . . .
0442,days work when can get it . . . . .,. . . . . . . .
0443,dressm nothing to do . . . . . . .,. . . . . . . .
0444,washer . white washer . . . . . . .,. . . . . . . .
0445,service . . . . . . . . . .,. . . . . . . .
0446,cook . . . . . . . . . .,. . . . . . . .
0447,washer not able to do much . . . . .,. . . . . . . .
0448,domestic duties . . . . . . . . .,. . . . . . . .
0449,washer . . . . . . . . . .,. . . . . . . .
0450,washer . . . . . . . . . .,. . . . . . . .
0451,washer cant get much to do . . . . .,. . . . . . . .
0452,washer irregular . . . . . . . . .,. . . . . . . .
0453,washer . . . . . . . . . .,. . . . . . . .
0454,not able to work . . . . . . .,. . . . . . . .
0455,service . . . . . . . . . .,. . . . . . . .
0456,days work . . . . . . . . .,. . . . . . . .
0457,domestic duties . . . . . . . . .,. . . . . . . .
0458,service . . . . . . . . . .,. . . . . . . .
0459,days work . . . . . . . . .,. . . . . . . .
0460,days work . . . . . . . . .,. . . . . . . .
0461,days work . . . . . . . . .,. . . . . . . .
0462,. domestic duties . . . . . . . .,1 . . . . . . .
0463,cook . . . . . . . . . .,. . . . . . . .
0464,sempstress . . . . . . . . . .,. . . . . . . .
0465,days work . . . . . . . . .,. . . . . . . .
0466,washer dont know . . . . . . . .,. . . . . . . .
0467,sempstress . . . . . . . . . .,. . . . . . . .
0468,days work . . . . . . . . .,. . . . . . . .
0469,shop keeper ab . . . . . . . .,. . . . . . . .
0470,washer when able . . . . . . . .,. . . . . . . .
0471,dress maker . . . . . . . . .,. . . . . . . .
0472,. . . . . . . . . . .,. . . . . . . .
0473,makes cocoanut candy . . . . . . . .,. . . . . . . .
0474,cook . . . . . . . . . .,. . . . . . . .
0475,days work . . . . . . . . .,. . . . . . . .
0476,huxter . . . . . . . . . .,. . . . . . . .
0477,washer . . . . . . . . . .,. . . . . . . .
0478,washer . . . . . . . . . .,. . . . . . . .
0479,washing or sewing when can get it . . . .,. . . . . . . .
0480,. . . . . . . . . . .,. . . . . . . .
0481,domestic duties . . . . . . . . .,. . . . . . . .
0482,washer . . . . . . . . . .,. . . . . . . .
0483,. days work . . . . . . . .,2 . . . . . . .
0484,days work when can get it . . . . .,. . . . . . . .
0485,days work occationally . . . . . . . .,. . . . . . . .
0486,service . . . . . . . . . .,. . . . . . . .
0487,days work very dull . . . . . . .,. . . . . . . .
0488,. . . . . . . . . . .,. . . . . . . .
0489,days work very little . . . . . . .,. . . . . . . .
0490,not able to work . . . . . . .,. . . . . . . .
0491,washer cant make much gets cheated so . . . .,. . . . . . . .
0492,. . . . . . . . . . .,. . . . . . . .
0493,cook . sometimes . . . . . . . .,. . . . . . . .
0494,washer dont know . . . . . . . .,. . . . . . . .
0495,service . . . . . . . . . .,. . . . . . . .
0496,. dom duties . . . . . . . .,1 . . . . . . .
0497,. . . . . . . . . . .,. . . . . . . .
0498,washer . . . . . . . . . .,. . . . . . . .
0499,days work . . . . . . . . .,. . . . . . . .
0500,. . . . . . . . . . .,. . . . . . . .
0501,. . . . . . . . . . .,. . . . . . . .
0502,days work . . . . . . . . .,. . . . . . . .
0503,huxter . . . . . . . . . .,. . . . . . . .
0504,days work very little . . . . . . .,. . . . . . . .
0505,days work . . . . . . . . .,. . . . . . . .
0506,days work when able . . . . . . .,. . . . . . . .
0507,washes . . . . . . . . . .,. . . . . . . .
0508,days work very dull . . . . . . .,. . . . . . . .
0509,dom duties . . . . . . . . .,. . . . . . . .
0510,washer when can get it . . . . . .,. . . . . . . .
0511,days work scarcely any . . . . . . .,. . . . . . . .
0512,cuts carpet rags . . . . . . . .,. . . . . . . .
0513,not able to work . . . . . . .,. . . . . . . .
0514,wash when can get it . . . . . .,. . . . . . . .
0515,days work slack time now . . . . . .,. . . . . . . .
0516,days work . . . . . . . . .,. . . . . . . .
0517,cook when able to go . . . . . .,. . . . . . . .
0518,cook . . . . . . . . . .,. . . . . . . .
0519,days work cts . sometimes . . . . . .,. . . . . . . .
0520,days work . . . . . . . . .,. . . . . . . .
0521,days work . . . . . . . . .,. . . . . . . .
0522,cuts carpet rags less than cts . . . . .,. . . . . . . .
0523,huxter . . . . . . . . . .,. . . . . . . .
0524,. at days work irregular . . . . . .,2 . . . . . . .
0525,. assist father . . . . . . . .,1 . . . . . . .
0526,days work . . . . . . . . .,. . . . . . . .
0527,various . . . . . . . . . .,. . . . . . . .
0528,various so little . . . . . . . .,. . . . . . . .
0529,huxter . . . . . . . . . .,. . . . . . . .
0530,dom duties . . . . . . . . .,. . . . . . . .
